model,fold,roc_auc,average_precision,brier_score,fit_time_seconds,score_time_seconds
dummy_prior,1,0.5,0.0807284256737531,0.07421134696266345,0.0806882381439209,0.007011890411376953
dummy_prior,2,0.5,0.0807284256737531,0.07421134696266346,0.09902358055114746,0.01116180419921875
dummy_prior,3,0.5,0.0807284256737531,0.07421134696266345,0.09217643737792969,0.004014730453491211
dummy_prior,4,0.5,0.08073006646206378,0.07421272283260891,0.09721207618713379,0.010483980178833008
dummy_prior,5,0.5,0.08073006646206378,0.07421272283260891,0.09790420532226562,0.011925935745239258
logistic_unweighted,1,0.749505620706876,0.22088343163383992,0.06874365970733992,63.110074043273926,1.3244411945343018
logistic_unweighted,2,0.7476575972109877,0.2320413510355466,0.06836820425495452,58.5431764125824,1.3328652381896973
logistic_unweighted,3,0.748952517278255,0.22965187322079655,0.06839154340269601,62.36768126487732,1.3220996856689453
logistic_unweighted,4,0.7472818306713845,0.22429882105831178,0.06863190517460559,45.3766028881073,1.3448662757873535
logistic_unweighted,5,0.7510810099937439,0.22982009034871648,0.06842563484287685,54.67927956581116,1.3402819633483887
logistic_balanced,1,0.7497039858269439,0.21896771756302424,0.20256965959715653,119.57634949684143,1.3234217166900635
logistic_balanced,2,0.7476374417517805,0.23024223893141493,0.20281636779209916,118.99009156227112,1.3151118755340576
logistic_balanced,3,0.7491411469942482,0.22745590625199782,0.20331581974543878,127.34156727790833,1.3082973957061768
logistic_balanced,4,0.746887268118867,0.22184669088366693,0.20113799955086548,110.80228209495544,1.340270757675171
logistic_balanced,5,0.7509624013165006,0.22706455174652485,0.20146028481207354,114.8794994354248,1.3439030647277832
hist_gradient_boosting,1,0.7614191725452031,0.23544238607065787,0.06805845914251392,13.895455598831177,1.3164560794830322
hist_gradient_boosting,2,0.7619795288220284,0.25019857884996816,0.06749791699132382,14.273988008499146,1.3944306373596191
hist_gradient_boosting,3,0.7607918150912234,0.24778036120187924,0.0676157162147962,14.646484613418579,1.350480556488037
hist_gradient_boosting,4,0.7645932424849201,0.24530643089162252,0.06768842224525269,14.508511066436768,1.4082815647125244
hist_gradient_boosting,5,0.764765255125439,0.24529863300127394,0.06762584905360604,14.245797634124756,1.401367425918579
