sample,risk_band,customers,defaults,mean_predicted_pd,observed_default_rate,minimum_predicted_pd,maximum_predicted_pd,population_share,default_share,risk_lift
development_oof,high,49202,10379,0.2088475096742414,0.21094670948335434,0.1175973922816744,0.7711465358866902,0.2000016259633833,0.5226082578046324,2.6130200456485917
development_oof,medium,73802,6059,0.07783148664938512,0.08209804612341129,0.0518201286847293,0.1175962973394045,0.2999983740366167,0.3050855991943605,1.016957509100109
development_oof,low,123004,3422,0.03058240465703371,0.027820233488341842,0.0054249933948936,0.0518200060067539,0.5,0.17230614300100705,0.3446122860020141
holdout,high,12278,2631,0.20888405277664376,0.21428571428571427,0.1175995790203728,0.6783202627206305,0.19963253825016666,0.5299093655589124,2.6544238239102285
holdout,medium,18357,1497,0.07792698113030705,0.08154927275698644,0.0518202190267503,0.1175945311702004,0.29847324520755086,0.30151057401812686,1.0101762180005915
holdout,low,30868,837,0.03054924041485764,0.02711545937540495,0.0062408851069897,0.0518188223337991,0.5018942165422825,0.16858006042296073,0.33588763302427604
