model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_score_mean,fit_time_mean
hist_gradient_boosting,0.7627098028137628,0.0018472907660546007,0.24480527800308036,0.0056146485369739495,0.06769727272949853,14.314047384262086
logistic_unweighted,0.7488957151722494,0.0015238343057396551,0.2273391134594423,0.004597128124676431,0.06851218947649458,56.81536283493042
logistic_balanced,0.7488664488016681,0.0016276945977358468,0.22511542107532576,0.004583669329973854,0.20226002629952672,118.31795797348022
dummy_prior,0.5,0.0,0.08072908198907738,8.986967698507792e-07,0.07421189731064164,0.09340090751647949
