sample,policy,policy_type,target_review_share,score_cutoff,customers,flagged_customers,flagged_share,flagged_defaults,flagged_non_defaults,missed_defaults,unflagged_non_defaults,flagged_default_rate,default_capture_rate,review_lift,false_positive_rate,f1
development_oof,review_top_10pct,capacity_based,0.1,0.18073208725500908,246008,24601,0.10000081298169165,6716,17885,13144,208263,0.27299703264094954,0.33816717019133935,3.3816442097650916,0.07908537771724711,0.3021074649692989
development_oof,review_top_20pct,capacity_based,0.2,0.11759695430476645,246008,49202,0.2000016259633833,10379,38823,9481,187325,0.21094670948335434,0.5226082578046324,2.6130200456485917,0.17167076427826025,0.3005705018678868
development_oof,review_top_30pct,capacity_based,0.3,0.08559371891666892,246008,73803,0.30000243894507495,12975,60828,6885,165320,0.17580586155034347,0.6533232628398792,2.177726504948484,0.26897430001591877,0.27705710899714936
development_oof,oof_max_f1,diagnostic_comparator,,0.1434537179191276,246008,36569,0.1486496374101655,8704,27865,11156,198283,0.23801580573709974,0.43826787512588117,2.9483279122745434,0.1232157702035835,0.30849385954030734
holdout,review_top_10pct,capacity_based,0.1,0.18073208725500908,61503,6123,0.09955611921369689,1700,4423,3265,52115,0.27764167891556424,0.3423967774420947,3.439233872778237,0.07823057058969189,0.30663780663780665
holdout,review_top_20pct,capacity_based,0.2,0.11759695430476645,61503,12278,0.19963253825016666,2631,9647,2334,46891,0.21428571428571427,0.5299093655589124,2.6544238239102285,0.17062860377091513,0.30516731427245836
holdout,review_top_30pct,capacity_based,0.3,0.08559371891666892,61503,18477,0.3004243695429491,3251,15226,1714,41312,0.17594847648427775,0.6547834843907352,2.1795285295493523,0.2693055997736036,0.2773654125074652
holdout,oof_max_f1,diagnostic_comparator,,0.1434537179191276,61503,9115,0.1482041526429605,2214,6901,2751,49637,0.24289632473944048,0.4459214501510574,3.0088323586001624,0.12205949980544059,0.31448863636363633
